reviews_item_id,helpful,recommend,user_id,user_url,reviews_date,sentiment_analysis,release_anio
1250,No ratings yet,True,76561197970982479,http://steamcommunity.com/profiles/76561197970982479,2011-11-05,1,2009
1250,No ratings yet,True,EndAtHallow,http://steamcommunity.com/id/EndAtHallow,2015-01-15,1,2009
1250,No ratings yet,True,76561198107847795,http://steamcommunity.com/profiles/76561198107847795,2014-12-12,1,2009
1250,0 of 1 people (0%) found this review helpful,True,usaidwotnow,http://steamcommunity.com/id/usaidwotnow,2013-12-13,0,2009
1250,2 of 3 people (67%) found this review helpful,True,76561198081529182,http://steamcommunity.com/profiles/76561198081529182,2014-08-19,1,2009
1250,1 of 1 people (100%) found this review helpful,True,76561198053085687,http://steamcommunity.com/profiles/76561198053085687,2015-12-19,1,2009
1250,2 of 13 people (15%) found this review helpful,False,76561198064343153,http://steamcommunity.com/profiles/76561198064343153,2014-10-18,0,2009
1250,No ratings yet,True,swatgamerbr,http://steamcommunity.com/id/swatgamerbr,2013-06-19,1,2009
1250,0 of 1 people (0%) found this review helpful,True,solodsnek,http://steamcommunity.com/id/solodsnek,2015-03-14,2,2009
1250,No ratings yet,True,shroud1,http://steamcommunity.com/id/shroud1,2014-08-04,2,2009
1250,1 of 1 people (100%) found this review helpful,True,theghostmkung,http://steamcommunity.com/id/theghostmkung,2013-12-06,1,2009
1250,No ratings yet,True,76561198066714498,http://steamcommunity.com/profiles/76561198066714498,2014-05-11,2,2009
1250,No ratings yet,True,hvf,http://steamcommunity.com/id/hvf,2014-08-26,1,2009
1250,0 of 1 people (0%) found this review helpful,True,76561198089961001,http://steamcommunity.com/profiles/76561198089961001,2014-10-17,1,2009
1250,1 of 1 people (100%) found this review helpful,True,HunterSLAYERR,http://steamcommunity.com/id/HunterSLAYERR,2013-09-29,2,2009
1250,1 of 6 people (17%) found this review helpful,False,NoOneYouLike,http://steamcommunity.com/id/NoOneYouLike,2014-11-21,1,2009
1250,0 of 1 people (0%) found this review helpful,True,76561198038695064,http://steamcommunity.com/profiles/76561198038695064,2014-11-27,2,2009
1250,No ratings yet,True,76561197973196808,http://steamcommunity.com/profiles/76561197973196808,2014-11-04,1,2009
1250,No ratings yet,True,76561198068976644,http://steamcommunity.com/profiles/76561198068976644,2015-12-22,1,2009
1250,2 of 2 people (100%) found this review helpful,True,76561198051976770,http://steamcommunity.com/profiles/76561198051976770,2013-12-03,1,2009
1250,3 of 3 people (100%) found this review helpful,True,76561198047633346,http://steamcommunity.com/profiles/76561198047633346,2013-12-28,1,2009
1250,1 of 1 people (100%) found this review helpful,True,thepengwin,http://steamcommunity.com/id/thepengwin,2013-07-29,2,2009
1250,No ratings yet,True,76561198046061239,http://steamcommunity.com/profiles/76561198046061239,2014-12-22,2,2009
1250,0 of 1 people (0%) found this review helpful,True,fergieandjesus,http://steamcommunity.com/id/fergieandjesus,2013-04-01,1,2009
1250,1 of 1 people (100%) found this review helpful,True,GraytheCat,http://steamcommunity.com/id/GraytheCat,2013-12-07,2,2009
1250,1 of 1 people (100%) found this review helpful,True,namkhing22,http://steamcommunity.com/id/namkhing22,2014-12-20,1,2009
1250,No ratings yet,True,76561198078763729,http://steamcommunity.com/profiles/76561198078763729,2014-01-16,1,2009
1250,No ratings yet,True,koongod01,http://steamcommunity.com/id/koongod01,2013-12-06,1,2009
1250,No ratings yet,True,76561198066675436,http://steamcommunity.com/profiles/76561198066675436,2015-03-21,2,2009
1250,1 of 2 people (50%) found this review helpful,True,PyroGT,http://steamcommunity.com/id/PyroGT,2015-12-13,1,2009
1250,1 of 1 people (100%) found this review helpful,True,spazrael_,http://steamcommunity.com/id/spazrael_,2014-06-21,2,2009
1250,1 of 1 people (100%) found this review helpful,True,--000--,http://steamcommunity.com/id/--000--,2014-03-20,1,2009
1250,1 of 1 people (100%) found this review helpful,True,Zilbong,http://steamcommunity.com/id/Zilbong,2014-05-26,2,2009
1250,0 of 1 people (0%) found this review helpful,True,bright43,http://steamcommunity.com/id/bright43,2013-12-12,1,2009
1250,1 of 1 people (100%) found this review helpful,True,76561197995192202,http://steamcommunity.com/profiles/76561197995192202,2013-12-05,1,2009
1250,3 of 3 people (100%) found this review helpful,True,76561198089779183,http://steamcommunity.com/profiles/76561198089779183,2015-07-06,1,2009
1250,No ratings yet,True,boat1230,http://steamcommunity.com/id/boat1230,2014-07-04,1,2009
1250,2 of 2 people (100%) found this review helpful,True,AquilliusRanger,http://steamcommunity.com/id/AquilliusRanger,2014-07-18,1,2009
1250,No ratings yet,True,Kyercon,http://steamcommunity.com/id/Kyercon,2013-12-25,2,2009
1250,No ratings yet,False,76561198016635228,http://steamcommunity.com/profiles/76561198016635228,2014-07-02,0,2009
1250,No ratings yet,True,76561198035146378,http://steamcommunity.com/profiles/76561198035146378,2013-12-05,1,2009
